fecha,tuits_negativos,indice,recoleccion_promedio,tipo_usuario,lugar,tuits_positivos
2018-03-12,202477,2.0685254029684,88450.5714285714,todos,NAC,416677
2018-03-19,199373,2.06470456705119,87105.2857142857,todos,NAC,410364
2018-03-26,188212,2.15858809855031,84744.2857142857,todos,NAC,404998
2018-04-02,209675,2.08867610068717,92298.4285714286,todos,NAC,436414
2018-04-09,203743,2.01503460532288,87474.1428571429,todos,NAC,408576
2018-04-16,236793,2.03161763233594,100884.428571429,todos,NAC,469398
2018-04-23,214412,1.99411768652757,91562,todos,NAC,426522
2018-04-30,217130,2.00887971567242,93142.7142857143,todos,NAC,434869
2018-05-07,208298,2.00288551290636,89224.5714285714,todos,NAC,416274
2018-05-14,230520,1.9032640228182,94796.4285714286,todos,NAC,433055
2018-05-21,205867,1.83305551200811,83267.8571428571,todos,NAC,377008
2018-05-28,209519,1.85942460402351,85455.1428571429,todos,NAC,388667
2018-06-04,217972,1.90535676619812,90340.1428571429,todos,NAC,414409
2018-06-11,253458,1.98155620554764,107478.142857143,todos,NAC,498889
2018-06-18,223347,2.02992602339336,96505.8571428571,todos,NAC,452194
2018-06-25,262053,1.91703071884897,107825.571428571,todos,NAC,492726
2018-07-02,231696,1.92671819716214,95687.4285714286,todos,NAC,438116
2018-07-09,206404,2.04647804105363,89687.1428571429,todos,NAC,421406
2018-07-16,209457,1.94072847586151,87833.4285714286,todos,NAC,405377
2018-07-23,202473,1.97076130258301,85926,todos,NAC,399009
2018-07-30,207072,1.91421526976974,86089.8571428571,todos,NAC,395557
2018-08-06,208145,1.87491604041508,85316.2857142857,todos,NAC,389069
2018-08-13,201868,1.90750403629495,83770.8571428571,todos,NAC,384528
2018-08-20,206307,1.87595608816207,84645.4285714286,todos,NAC,386211
2018-08-27,204364,1.86174854569217,83444.1428571429,todos,NAC,379745
2018-09-03,207948,1.83072066772806,83854,todos,NAC,379030
2018-09-10,202766,1.85223622608317,82470.1428571429,todos,NAC,374525
2018-09-17,205229,1.79750767376074,81873.4285714286,todos,NAC,367885
2018-09-24,204337,1.81383188590001,81902.8571428571,todos,NAC,368983
2018-10-01,201257,1.88779864695143,82958.7142857143,todos,NAC,379454
2018-10-08,195473,1.88337724610671,80398.2857142857,todos,NAC,367315
2018-10-15,198200,1.86233412716887,80994.5714285714,todos,NAC,368762
2018-10-22,210021,1.86127439468826,85745.2857142857,todos,NAC,390196
2018-10-29,192219,1.88162202627004,78323,todos,NAC,356042
2018-11-05,193204,1.87635642893126,79330.2857142857,todos,NAC,362108
2018-11-12,191630,1.87736208785539,78223.5714285714,todos,NAC,355935
2018-11-19,195220,1.88322881100201,80313.8571428571,todos,NAC,366977
2018-11-26,215670,1.77330422561239,85336.8571428571,todos,NAC,381688
2018-12-03,201927,1.81420104769598,81184.8571428571,todos,NAC,366367
2018-12-10,200057,1.77663075990343,79362.8571428571,todos,NAC,355483
2018-12-17,189251,1.79510729417613,75387.1428571429,todos,NAC,338459
2018-12-24,202218,1.86036403324658,82579.5714285714,todos,NAC,375839
2018-12-31,204279,1.94189845494244,85317.4285714286,todos,NAC,392943
2019-01-07,247461,1.60453931656609,91992.2857142857,todos,NAC,396485
2019-01-14,227530,1.71189126367513,87987.4285714286,todos,NAC,388382
2019-01-21,223696,1.73667868353515,87236.8571428571,todos,NAC,386962
2019-01-28,214057,1.76390426293749,84452.7142857143,todos,NAC,377112
2019-02-04,205631,1.78443301868146,81687.8571428571,todos,NAC,366184
2019-02-11,202590,1.8447718071963,82194.2857142857,todos,NAC,372770
2019-02-18,212425,1.86674130067257,87113.8571428571,todos,NAC,397372
2019-02-25,206270,1.81566359990019,82907.7142857143,todos,NAC,374084
2019-03-04,182132,1.86346638127884,73973.2857142857,todos,NAC,335681
2019-03-11,168820,1.9047035342317,69709.4285714286,todos,NAC,319146
2019-03-18,176087,1.91404240274133,73268.8571428571,todos,NAC,336795
2019-03-25,193916,1.80333136602226,77409.7142857143,todos,NAC,347952
2019-04-01,190674,1.79914441593099,76155.4285714286,todos,NAC,342414
2019-04-08,193138,1.84811921377749,78534.4285714286,todos,NAC,356603
2019-04-15,196256,1.80850903680812,78296.5714285714,todos,NAC,351820
2019-04-22,217434,1.76812679621202,85871.1428571429,todos,NAC,383664
2019-04-29,206302,1.81241141950472,82816.7142857143,todos,NAC,373415
2019-05-06,206897,1.82284540130295,83332.8571428571,todos,NAC,376433
2019-05-13,215689,1.73950160068172,84317.4285714286,todos,NAC,374533
2019-05-20,209304,1.760780161479,82523.7142857143,todos,NAC,368362
2019-05-27,205110,1.79465507627724,81784.1428571429,todos,NAC,367379
2019-06-03,172211,1.76569579469622,79234.1666666667,todos,NAC,303194
2019-06-10,200640,1.78521768313341,79501.1428571429,todos,NAC,355868
2019-06-17,211285,1.80696321752547,84618.4285714286,todos,NAC,381044
2019-06-24,207336,1.79058107294477,82603.8571428571,todos,NAC,370891
2019-07-01,219245,1.7579877959182,86078.1428571429,todos,NAC,383302
2019-07-08,199199,1.8148295513892,79870.4285714286,todos,NAC,359894
2019-07-15,207285,1.83809041160121,83956.5714285714,todos,NAC,380411
2019-07-22,202983,1.82348880713401,81849.4285714286,todos,NAC,369963
2019-07-29,205929,1.83235280852378,83287,todos,NAC,377080
2019-08-05,203788,1.81651383430799,81954.1428571429,todos,NAC,369891
2019-08-12,213802,1.69288611518795,82131.4285714286,todos,NAC,361118
2019-08-19,203168,1.79366514037088,81015.5714285714,todos,NAC,363941
2019-08-26,207690,1.77716811368017,82364.8571428571,todos,NAC,368864
2019-09-02,198004,1.81712295726948,79553.4285714286,todos,NAC,358870
2019-09-09,190323,1.84356202176358,77108,todos,NAC,349433
2019-09-16,202863,1.77540249247004,80326.5714285714,todos,NAC,359423
2019-09-23,220837,1.72542435991836,85789.2857142857,todos,NAC,379688
2019-09-30,202638,1.80541457235596,81139.4285714286,todos,NAC,365338
2019-10-07,202444,1.81052314889713,81004.4285714286,todos,NAC,364587
2019-10-14,230241,1.6405128531245,85652.8571428571,todos,NAC,369329
2019-10-21,202408,1.83388869501584,81817,todos,NAC,370311
2019-10-28,202318,1.84950441485352,82248,todos,NAC,373418
2019-11-04,216588,1.73206004244151,84315,todos,NAC,373617
2019-11-11,213598,1.7786626572726,84444,todos,NAC,377510
2019-11-18,197145,1.88429264007184,81120.4285714286,todos,NAC,370698
2019-11-25,220806,1.74974284745213,86530.1428571429,todos,NAC,384905
2019-12-02,199647,1.85053883500562,81116.1428571429,todos,NAC,368166
2019-12-09,193449,1.83607103686977,78241.4285714286,todos,NAC,354241
2019-12-16,183555,1.85975990234531,74915.1428571429,todos,NAC,340851
2019-12-23,191839,1.96878272126558,80874,todos,NAC,374279
2019-12-30,192087,2.00258143904658,82219.1428571429,todos,NAC,383447
2020-01-06,209054,1.79215338110634,83357.1428571429,todos,NAC,374446
2020-01-13,213725,1.78407416704042,84960.2857142857,todos,NAC,380997
2020-01-20,199997,1.78638557170502,79528.4285714286,todos,NAC,356702
2020-01-27,204074,1.81869746277209,82110.4285714286,todos,NAC,370699
2020-02-03,169528,1.83184285346566,80016.1666666667,todos,NAC,310569
2020-02-10,194445,1.85690438356875,79254.8571428571,todos,NAC,360339
2020-02-17,219546,1.66378466103563,82938,todos,NAC,361020
